comp_id,code,company,address,city_st_zip,contact,commodity,miles,rate_base,fsc
49,SML,1888 Mills,1200 Weaving A Better World Dr,"Griffin, GA 30224",Eddie Johnson; 770-377-0403,Used Clothes,434,868,1.0
4,SML,2ND Life,4690 Hammermill Rd Suite E,"Tucker, GA 30084",Shane; 404-557-1234; shane@rtmrecycling.com,Used Clothing,512,1024,1.0
41,SML,ABW,7875 White Rd. SW,"Austell, GA 30168",Katie Patterson; 770-795-4026,Chocolates,532,1040,1.0
13,SML,AD Food,2075 Boggs Road,"Duluth, GA 30096",Maricella; 212-951-7288; appointment@adfoods.com,Frozen Shrimp,538,1076,1.0
161,SML,AES Clean Technology,3465 Martin Farm Road,"Suwanee, GA 30024",Michael Merriwe 404-610-1064; mmerriwether@aesclean.com,Building Materials,548,1096,1.0
145,PortCity,AGY,2556 Wagener Rd.,"Aiken, SC 29801",Matthew Voyles; 912-655-1151,General,250,675,1.0
198,SML,Ainsworth,781 Ebenezer Rd.,"Fayetteville, GA 30215",Ainsworth_richards@yahoo.com,General,356,712,
75,SML,All Tech,8479 US 19 South Baconton,"Baconton, GA 31716",Taylor Bankston,Animal feed,450,900,1.0
178,SML,Alma Parker Cold,226 Pineview Road,"Alma, GA 31510",Paula Lewis 912-632-7964,Fruit,210,420,1.0
80,PortSide,ALPHA,230 Sunport LN,"Orlando FL, 32809",Marty Gladin; 478-456-3068; marty@haycotrucking.com,Terry Towels,291,1315,0.0
1,SML,Americold Logistics,1802 Rome Hwy,"Rockmart, GA 30153",Brill; 770-684-0886; brill.rockmart@agromerchants.com,Frozen Vegatable Cream,586,1172,1.0
59,SML,Americold Pooler,220 Nordic Way,"Pooler, GA 31322",agro-bookingsav@americold.com,Food,1,350,1.0
197,SML,Americold2,1900 Corporate Way,"Sumter, SC 29154",NA,Frozen Chicken,288,576,
2,SML,Anitox,1055 Progress Circle,"Lawrenceville, GA 30043",Monica Hill; 678-376-3063 mhill@anitox.com,Non-Haz Animal Food,494,1100,1.0
165,SML,APM Plant,4800 Augusta Hwy SE,"Dearing, GA 30808","Paul Coughlin, 478-456-2379; pcoughlan@advminerals.com",Clay,316,632,1.0
121,SML,Aquasol,730 N. Anderson Rd.,"Rock Hill, SC 29730",Jason Hurley 803-984-3086,Modified Starch,456,912,1.0
32,SML,Archroma,788 Chert Quarry Road,"Martin, SC 29836",Belinda Owens; 803-584-4321,Industrial ,1,490,1.0
